Designator	Value	Quantity	Manufacturer	Manuf p/n	Vendor	Vendor p/n	COST	Footprint
"R3B"	"200R"	"1"	"Vishay"	"CRCW0805200RFNEA"	"DigiKey"	"541-200CCT-ND"	"0.09"	"SMD_0805"
"R3C"	"200R"	"1"	"Vishay"	"CRCW0805200RFNEA"	"DigiKey"	"541-200CCT-ND"	"0.09"	"SMD_0805"
"R3D"	"200R"	"1"	"Vishay"	"CRCW0805200RFNEA"	"DigiKey"	"541-200CCT-ND"	"0.09"	"SMD_0805"
"R4A"	"200R"	"1"	"Vishay"	"CRCW0805200RFNEA"	"DigiKey"	"541-200CCT-ND"	"0.09"	"SMD_0805"
"R4B"	"200R"	"1"	"Vishay"	"CRCW0805200RFNEA"	"DigiKey"	"541-200CCT-ND"	"0.09"	"SMD_0805"
"R4C"	"200R"	"1"	"Vishay"	"CRCW0805200RFNEA"	"DigiKey"	"541-200CCT-ND"	"0.09"	"SMD_0805"
"R4D"	"200R"	"1"	"Vishay"	"CRCW0805200RFNEA"	"DigiKey"	"541-200CCT-ND"	"0.09"	"SMD_0805"
"R5A"	"500R0"	"1"	"Vishay"	"300144 Series  500R0/500R0"	""	""	"24.12"	"Vishay 3 pin"
"R5B"	"500R0"	"1"	"Vishay"	"300144 Series  500R0/500R0"	""	""	"24.12"	"Vishay 3 pin"
"R5C"	"500R0"	"1"	"Vishay"	"300144 Series  500R0/500R0"	""	""	"24.12"	"Vishay 3 pin"
"R5D"	"500R0"	"1"	"Vishay"	"300144 Series  500R0/500R0"	""	""	"24.12"	"Vishay 3 pin"
"R6A"	"499K"	"1"	"Vishay"	"CRCW0805499KFNEA"	"DigiKey"	"541-499KCCT-ND"	"0.09"	"SMD_0805"
"R6B"	"499K"	"1"	"Vishay"	"CRCW0805499KFNEA"	"DigiKey"	"541-499KCCT-ND"	"0.09"	"SMD_0805"
"R6C"	"499K"	"1"	"Vishay"	"CRCW0805499KFNEA"	"DigiKey"	"541-499KCCT-ND"	"0.09"	"SMD_0805"
"R6D"	"499K"	"1"	"Vishay"	"CRCW0805499KFNEA"	"DigiKey"	"541-499KCCT-ND"	"0.09"	"SMD_0805"
"R7A"	"39K2"	"1"	"Vishay"	"CRCW080539K2FNEA"	"DigiKey"	"541-39.2KCCT-ND"	"0.09"	"SMD_0805"
"R7B"	"39K2"	"1"	"Vishay"	"CRCW080539K2FNEA"	"DigiKey"	"541-39.2KCCT-ND"	"0.09"	"SMD_0805"
"R7C"	"39K2"	"1"	"Vishay"	"CRCW080539K2FNEA"	"DigiKey"	"541-39.2KCCT-ND"	"0.09"	"SMD_0805"
"R7D"	"39K2"	"1"	"Vishay"	"CRCW080539K2FNEA"	"DigiKey"	"541-39.2KCCT-ND"	"0.09"	"SMD_0805"
"R8A"	"500R0"	"1"	"Vishay"	"300145 Series"	""	""	"42.47"	"VISHAY 6 pin"
"R8B"	"500R0"	"1"	"Vishay"	"300145 Series"	""	""	"42.47"	"VISHAY 6 pin"
"R8C"	"500R0"	"1"	"Vishay"	"300145 Series"	""	""	"42.47"	"VISHAY 6 pin"
"R8D"	"500R0"	"1"	"Vishay"	"300145 Series"	""	""	"42.47"	"VISHAY 6 pin"
"R9A"	"49K9"	"1"	"Vishay"	"CRCW080549K9FNEA"	"DigiKey"	"541-49.9KCCT-ND"	"0.09"	"SMD_0805"
"R9B"	"49K9"	"1"	"Vishay"	"CRCW080549K9FNEA"	"DigiKey"	"541-49.9KCCT-ND"	"0.09"	"SMD_0805"
"R9C"	"49K9"	"1"	"Vishay"	"CRCW080549K9FNEA"	"DigiKey"	"541-49.9KCCT-ND"	"0.09"	"SMD_0805"
"R9D"	"49K9"	"1"	"Vishay"	"CRCW080549K9FNEA"	"DigiKey"	"541-49.9KCCT-ND"	"0.09"	"SMD_0805"
"R10A"	"100K"	"1"	"Vishay"	"CRCW0805100KFNEA"	"DigiKey"	"541-100KCCT-ND"	"0.09"	"SMD_0805"
"R10B"	"100K"	"1"	"Vishay"	"CRCW0805100KFNEA"	"DigiKey"	"541-100KCCT-ND"	"0.09"	"SMD_0805"
"R10C"	"100K"	"1"	"Vishay"	"CRCW0805100KFNEA"	"DigiKey"	"541-100KCCT-ND"	"0.09"	"SMD_0805"
"R10D"	"100K"	"1"	"Vishay"	"CRCW0805100KFNEA"	"DigiKey"	"541-100KCCT-ND"	"0.09"	"SMD_0805"
"R11A"	"20K"	"1"	"Vishay"	"CRCW080520K0FNEA"	"DigiKey"	"541-20.0KCCT-ND"	"0.09"	"SMD_0805"
"R11B"	"20K"	"1"	"Vishay"	"CRCW080520K0FNEA"	"DigiKey"	"541-20.0KCCT-ND"	"0.09"	"SMD_0805"
"R11C"	"20K"	"1"	"Vishay"	"CRCW080520K0FNEA"	"DigiKey"	"541-20.0KCCT-ND"	"0.09"	"SMD_0805"
"R11D"	"20K"	"1"	"Vishay"	"CRCW080520K0FNEA"	"DigiKey"	"541-20.0KCCT-ND"	"0.09"	"SMD_0805"
"R12A"	"3K32"	"1"	"Vishay"	"CRCW08053K32FNEA"	"DigiKey"	"541-3.32KCCT-ND"	"0.09"	"SMD_0805"
"R12B"	"3K32"	"1"	"Vishay"	"CRCW08053K32FNEA"	"DigiKey"	"541-3.32KCCT-ND"	"0.09"	"SMD_0805"
"R12C"	"3K32"	"1"	"Vishay"	"CRCW08053K32FNEA"	"DigiKey"	"541-3.32KCCT-ND"	"0.09"	"SMD_0805"
"R12D"	"3K32"	"1"	"Vishay"	"CRCW08053K32FNEA"	"DigiKey"	"541-3.32KCCT-ND"	"0.09"	"SMD_0805"
"R13A"	"10K"	"1"	"Vishay"	"CRCW080510K0FNEA"	"DigiKey"	"541-10.0KCCT-ND"	"0.09"	"SMD_0805"
"R13B"	"10K"	"1"	"Vishay"	"CRCW080510K0FNEA"	"DigiKey"	"541-10.0KCCT-ND"	"0.09"	"SMD_0805"
"R13C"	"10K"	"1"	"Vishay"	"CRCW080510K0FNEA"	"DigiKey"	"541-10.0KCCT-ND"	"0.09"	"SMD_0805"
"R13D"	"10K"	"1"	"Vishay"	"CRCW080510K0FNEA"	"DigiKey"	"541-10.0KCCT-ND"	"0.09"	"SMD_0805"
"R14A"	"26K7"	"1"	"Vishay"	"CRCW080526K7FNEA"	"DigiKey"	"541-26.7KCCT-ND"	"0.09"	"SMD_0805"
"R14B"	"26K7"	"1"	"Vishay"	"CRCW080526K7FNEA"	"DigiKey"	"541-26.7KCCT-ND"	"0.09"	"SMD_0805"
"R14C"	"26K7"	"1"	"Vishay"	"CRCW080526K7FNEA"	"DigiKey"	"541-26.7KCCT-ND"	"0.09"	"SMD_0805"
"R14D"	"26K7"	"1"	"Vishay"	"CRCW080526K7FNEA"	"DigiKey"	"541-26.7KCCT-ND"	"0.09"	"SMD_0805"
"R15A"	"1K"	"1"	"Vishay"	"CRCW08051K00FNEA"	"DigiKey"	"541-1.00KCCT-ND"	"0.09"	"SMD_0805"
"R15B"	"1K"	"1"	"Vishay"	"CRCW08051K00FNEA"	"DigiKey"	"541-1.00KCCT-ND"	"0.09"	"SMD_0805"
"R15C"	"1K"	"1"	"Vishay"	"CRCW08051K00FNEA"	"DigiKey"	"541-1.00KCCT-ND"	"0.09"	"SMD_0805"
"R15D"	"1K"	"1"	"Vishay"	"CRCW08051K00FNEA"	"DigiKey"	"541-1.00KCCT-ND"	"0.09"	"SMD_0805"
"R16A"	"100R"	"1"	"Vishay"	"CRCW0805100R0FNEA"	"DigiKey"	"541-100CCT-ND"	"0.09"	"SMD_0805"
"R16B"	"100R"	"1"	"Vishay"	"CRCW0805100R0FNEA"	"DigiKey"	"541-100CCT-ND"	"0.09"	"SMD_0805"
"R16C"	"100R"	"1"	"Vishay"	"CRCW0805100R0FNEA"	"DigiKey"	"541-100CCT-ND"	"0.09"	"SMD_0805"
"R16D"	"100R"	"1"	"Vishay"	"CRCW0805100R0FNEA"	"DigiKey"	"541-100CCT-ND"	"0.09"	"SMD_0805"
"R17A"	"1K"	"1"	"Vishay"	"CRCW08051K00FNEA"	"DigiKey"	"541-1.00KCCT-ND"	"0.09"	"SMD_0805"
"R17B"	"1K"	"1"	"Vishay"	"CRCW08051K00FNEA"	"DigiKey"	"541-1.00KCCT-ND"	"0.09"	"SMD_0805"
"R17C"	"1K"	"1"	"Vishay"	"CRCW08051K00FNEA"	"DigiKey"	"541-1.00KCCT-ND"	"0.09"	"SMD_0805"
"R17D"	"1K"	"1"	"Vishay"	"CRCW08051K00FNEA"	"DigiKey"	"541-1.00KCCT-ND"	"0.09"	"SMD_0805"
"R18A"	"249R"	"1"	"Vishay"	"CRCW0805249RFNEA"	"DigiKey"	"541-249CCT-ND"	"0.09"	"SMD_0805"
"R18B"	"249R"	"1"	"Vishay"	"CRCW0805249RFNEA"	"DigiKey"	"541-249CCT-ND"	"0.09"	"SMD_0805"
"R18C"	"249R"	"1"	"Vishay"	"CRCW0805249RFNEA"	"DigiKey"	"541-249CCT-ND"	"0.09"	"SMD_0805"
"R18D"	"249R"	"1"	"Vishay"	"CRCW0805249RFNEA"	"DigiKey"	"541-249CCT-ND"	"0.09"	"SMD_0805"
"R19A"	"249R"	"1"	"Vishay"	"CRCW0805249RFNEA"	"DigiKey"	"541-249CCT-ND"	"0.09"	"SMD_0805"
"R19B"	"249R"	"1"	"Vishay"	"CRCW0805249RFNEA"	"DigiKey"	"541-249CCT-ND"	"0.09"	"SMD_0805"
"R19C"	"249R"	"1"	"Vishay"	"CRCW0805249RFNEA"	"DigiKey"	"541-249CCT-ND"	"0.09"	"SMD_0805"
"R19D"	"249R"	"1"	"Vishay"	"CRCW0805249RFNEA"	"DigiKey"	"541-249CCT-ND"	"0.09"	"SMD_0805"
"R20A"	"1K"	"1"	"Vishay"	"CRCW08051K00FNEA"	"DigiKey"	"541-1.00KCCT-ND"	"0.09"	"SMD_0805"
"R20B"	"1K"	"1"	"Vishay"	"CRCW08051K00FNEA"	"DigiKey"	"541-1.00KCCT-ND"	"0.09"	"SMD_0805"
"R20C"	"1K"	"1"	"Vishay"	"CRCW08051K00FNEA"	"DigiKey"	"541-1.00KCCT-ND"	"0.09"	"SMD_0805"
"R20D"	"1K"	"1"	"Vishay"	"CRCW08051K00FNEA"	"DigiKey"	"541-1.00KCCT-ND"	"0.09"	"SMD_0805"
"R21"	"100R"	"1"	"Vishay"	"CRCW0805100RFNEA"	"DigiKey"	"541-100CCT-ND"	"0.09"	"SMD_0805"
"R22"	"2K61"	"1"	"Vishay"	"CRCW08052K61FNEA"	"DigiKey"	"541-2.61KCCT-ND"	"0.09"	"SMD_0805"
"R23"	"1K"	"1"	"Vishay"	"CRCW08051K00FKEA"	"DigiKey"	"541-1.00KCCT-ND"	"0.09"	"SMD_0805"
"R24"	"301R"	"1"	"Vishay"	"CRCW0805301RFNEA"	"DigiKey"	"541-301CCT-ND"	"0.09"	"SMD_0805"
"R25"	"1K"	"1"	"Vishay"	"CRCW08051K00FNEA"	"DigiKey"	"541-1.00KCCT-ND"	"0.09"	"SMD_0805"
"R26"	"301R"	"1"	"Vishay"	"CRCW0805301RFNEA"	"DigiKey"	"541-301CCT-ND"	"0.09"	"SMD_0805"
"R27"	"150R"	"1"	"Vishay"	"CRCW0805150RFNEA"	"DigiKey"	"541-150CCT-ND"	"0.09"	"SMD_0805"
"RN1"	"10K"	"1"	"PANASONIC - ECG"	"EXB-38V103JV"	"DIGIKEY"	"Y9103CT-ND"	"0.03"	"RES ARRAY 0603 x 4"
"SW1"	"SW-SPST-8POS"	"1"	"CTS"	"219-8MST"	"DIGIKEY"	"CT2198MST-ND"	"0.95"	"SMD_DIP GULL WING 16PIN"
"TP1A"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP1B"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP1C"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP1D"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP2A"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP2B"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP2C"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP2D"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP3A"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP3B"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP3C"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP3D"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP4A"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP4B"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP4C"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP4D"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP5A"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP5B"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP5C"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP5D"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP6A"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP6B"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP6C"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP6D"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP7A"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP7B"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP7C"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP7D"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP8"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP9A"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP9B"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP9C"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP9D"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP10A"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP10B"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP10C"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP10D"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP11"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP12"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP13"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP14"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP15"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP16"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP17"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP18"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP19"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP20"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP21"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP22"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP23"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP24"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP25"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP26"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP27"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP28"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP29"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP30"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"TP31"	"Test point"	"1"	"Keystone"	"1249"	"Bisco Ind."	"1249"	"0.18"	"PAD_80D_052H"
"U1A"	"THS4031"	"1"	"TEXAS INST"	"THS4031IDGNR"	"DigiKey"	"296-10030-1-ND"	"4.39"	"MSOP with PowerPAD"
"U1B"	"THS4031"	"1"	"TEXAS INST"	"THS4031IDGNR"	"DigiKey"	"296-10030-1-ND"	"4.39"	"MSOP with PowerPAD"
"U1C"	"THS4031"	"1"	"TEXAS INST"	"THS4031IDGNR"	"DigiKey"	"296-10030-1-ND"	"4.39"	"MSOP with PowerPAD"
"U1D"	"THS4031"	"1"	"TEXAS INST"	"THS4031IDGNR"	"DigiKey"	"296-10030-1-ND"	"4.39"	"MSOP with PowerPAD"
"U2A"	"DG642"	"1"	"VISHAY"	"DG642DY-E3"	"Newark"	"49K9688"	"2.00"	"182H_M"
"U2B"	"DG642"	"1"	"VISHAY"	"DG642DY-E3"	"Newark"	"49K9688"	"2.00"	"182H_M"
"U2C"	"DG642"	"1"	"VISHAY"	"DG642DY-E3"	"Newark"	"49K9688"	"2.00"	"182H_M"
"U2D"	"DG642"	"1"	"VISHAY"	"DG642DY-E3"	"Newark"	"49K9688"	"2.00"	"182H_M"
"U3A"	"DG213A"	"1"	"VISHAY"	"DG213DY-T1-E3"	"DIGIKEY"	"DG213DY-T1-E3CT-ND"	"2.73"	"SOIC16"
"U3B"	"DG213A"	"1"	"VISHAY"	"DG213DY-T1-E3"	"DIGIKEY"	"DG213DY-T1-E3CT-ND"	"2.73"	"SOIC16"
"U3C"	"DG213A"	"1"	"VISHAY"	"DG213DY-T1-E3"	"DIGIKEY"	"DG213DY-T1-E3CT-ND"	"2.73"	"SOIC16"
"U3D"	"DG213A"	"1"	"VISHAY"	"DG213DY-T1-E3"	"DIGIKEY"	"DG213DY-T1-E3CT-ND"	"2.73"	"SOIC16"
"U4A"	"THS4031"	"1"	"TEXAS INST"	"THS4031IDGNR"	"DigiKey"	"296-10030-1-ND"	"4.39"	"MSOP with PowerPAD"
"U4B"	"THS4031"	"1"	"TEXAS INST"	"THS4031IDGNR"	"DigiKey"	"296-10030-1-ND"	"4.39"	"MSOP with PowerPAD"
"U4C"	"THS4031"	"1"	"TEXAS INST"	"THS4031IDGNR"	"DigiKey"	"296-10030-1-ND"	"4.39"	"MSOP with PowerPAD"
"U4D"	"THS4031"	"1"	"TEXAS INST"	"THS4031IDGNR"	"DigiKey"	"296-10030-1-ND"	"4.39"	"MSOP with PowerPAD"
"U5A"	"THS4031"	"1"	"TEXAS INST"	"THS4031IDGNR"	"DigiKey"	"296-10030-1-ND"	"4.39"	"MSOP with PowerPAD"
"U5B"	"THS4031"	"1"	"TEXAS INST"	"THS4031IDGNR"	"DigiKey"	"296-10030-1-ND"	"4.39"	"MSOP with PowerPAD"
"U5C"	"THS4031"	"1"	"TEXAS INST"	"THS4031IDGNR"	"DigiKey"	"296-10030-1-ND"	"4.39"	"MSOP with PowerPAD"
"U5D"	"THS4031"	"1"	"TEXAS INST"	"THS4031IDGNR"	"DigiKey"	"296-10030-1-ND"	"4.39"	"MSOP with PowerPAD"
"U6A"	"ADS8422"	"1"	"TEXAS INST"	"ADS8422IBPFBT"	"Mouser"	"595-ADS8422IBPFBT"	"49.42"	"TQFP48_m"
"U6B"	"ADS8422"	"1"	"TEXAS INST"	"ADS8422IBPFBT"	"Mouser"	"595-ADS8422IBPFBT"	"49.42"	"TQFP48_m"
"U6C"	"ADS8422"	"1"	"TEXAS INST"	"ADS8422IBPFBT"	"Mouser"	"595-ADS8422IBPFBT"	"49.42"	"TQFP48_m"
"U6D"	"ADS8422"	"1"	"TEXAS INST"	"ADS8422IBPFBT"	"Mouser"	"595-ADS8422IBPFBT"	"49.42"	"TQFP48_m"
"U7A"	"THS4151"	"1"	"TEXAS INST"	"THS4151CD"	"Mouser"	"595-THS4151CD"	"10.30"	"182H_M"
"U7B"	"THS4151"	"1"	"TEXAS INST"	"THS4151CD"	"Mouser"	"595-THS4151CD"	"10.30"	"182H_M"
"U7C"	"THS4151"	"1"	"TEXAS INST"	"THS4151CD"	"Mouser"	"595-THS4151CD"	"10.30"	"182H_M"
"U7D"	"THS4151"	"1"	"TEXAS INST"	"THS4151CD"	"Mouser"	"595-THS4151CD"	"10.30"	"182H_M"
"U8"	"MAX6341"	"1"	"MAXIM"	"MAX6341CSA+"	"DIGIKEY"	"MAX6341CSA+-ND"	"17.76"	"NSO8_M"
"U9"	"MAX1258"	"1"	"MAXIM"	"MAX1258BETM+"	"MAXIM DIRECT"	"MAX1258BETM+"	"23.45"	"QFN48_M"
"U10"	"FIN1002M5X"	"1"	"FAIRCHILD"	"FIN1002M5X"	"DIGIKEY"	"FIN1002M5XCT-ND"	"0.84"	"SOT-23 5"
"U11A"	"SSM2210"	"1"	"ANALOG DEVICES"	"SSM2210SZ"	"DIGIKEY"	"SSM2210SZ-ND"	"5.40"	"SO-8_M"
"U11B"	"SSM2210"	"1"	"ANALOG DEVICES"	"SSM2210SZ"	"DIGIKEY"	"SSM2210SZ-ND"	"5.40"	"SO-8_M"
"U11C"	"SSM2210"	"1"	"ANALOG DEVICES"	"SSM2210SZ"	"DIGIKEY"	"SSM2210SZ-ND"	"5.40"	"SO-8_M"
"U11D"	"SSM2210"	"1"	"ANALOG DEVICES"	"SSM2210SZ"	"DIGIKEY"	"SSM2210SZ-ND"	"5.40"	"SO-8_M"
"U12A"	"Diode array"	"1"	"DIODES INC"	"BAS70DW-04-7-F"	"DIGIKEY"	"BAS70DW-04-FDICT-ND	"	"0.67"	"SOT-363"
"U12B"	"Diode array"	"1"	"DIODES INC"	"BAS70DW-04-7-F"	"DIGIKEY"	"BAS70DW-04-FDICT-ND	"	"0.67"	"SOT-363"
"U12C"	"Diode array"	"1"	"DIODES INC"	"BAS70DW-04-7-F"	"DIGIKEY"	"BAS70DW-04-FDICT-ND	"	"0.67"	"SOT-363"
"U12D"	"Diode array"	"1"	"DIODES INC"	"BAS70DW-04-7-F"	"DIGIKEY"	"BAS70DW-04-FDICT-ND	"	"0.67"	"SOT-363"
"U13A"	"SSM2210"	"1"	"ANALOG DEVICES"	"SSM2210SZ"	"DIGIKEY"	"SSM2210SZ-ND"	"5.40"	"SO-8_M"
"U13B"	"SSM2210"	"1"	"ANALOG DEVICES"	"SSM2210SZ"	"DIGIKEY"	"SSM2210SZ-ND"	"5.40"	"SO-8_M"
"U13C"	"SSM2210"	"1"	"ANALOG DEVICES"	"SSM2210SZ"	"DIGIKEY"	"SSM2210SZ-ND"	"5.40"	"SO-8_M"
"U13D"	"SSM2210"	"1"	"ANALOG DEVICES"	"SSM2210SZ"	"DIGIKEY"	"SSM2210SZ-ND"	"5.40"	"SO-8_M"
"U14"	"EPM570T144C3"	"1"	"ALTERA"	"EPM570T144C3"	"DIGIKEY"	"544-1300-ND"	"39.71"	"TQFP144_L"
"U15"	"DS2411"	"1"	"MAXIM"	"DS2411R+T&R"	"DIGIKEY"	"DS2411R+CT-ND"	"1.25"	"SMD_SOT23_3"
